g,arm,ADE3,FDE3,driver_calls,rpc_rounds,calls,request_bytes,response_bytes,input_tokens,output_tokens,total_compute_seconds,generation_seconds,local_model_seconds,peer_model_seconds,receiver_model_seconds,control_seconds,cost_complete,task_success,acquired_fields,derived_fields,admitted_remote_fields,remote_units_retained,remote_units_total
5526,Ego,0.9489685967313876,1.8540588472892214,1,0,0,0,0,2292,63,2.07743789232336,1.7370321559719741,0.1619819449260831,0,0,0.011206247145310044,True,True,0,0,0,0,0
5526,alternating,0.7007877788304865,1.2920158352302045,3,2,2,4122,26961,9566,189,6.75888079078868,5.817616450134665,0.024576725903898478,0.030763118993490934,0.022256080992519855,0.04671418690122664,True,True,14,4,3,2,12
5526,one_shot,0.7007877788304865,1.2920158352302045,2,1,2,3030,27477,5865,126,4.413455625763163,3.749007123056799,0.025117795914411545,0.026319420896470547,0.019772519124671817,0.02917124005034566,True,True,13,4,3,2,12
7007,Ego,0.4105095002958932,1.1894324961783027,1,0,0,0,0,2300,63,1.9005276099778712,1.7042743628844619,0.02668858482502401,0,0,0.010286550037562847,True,True,0,0,0,0,0
7007,alternating,1.6233446796144335,4.309532708947579,3,2,2,4134,26785,9574,189,6.729980446398258,5.821153938071802,0.02409397019073367,0.024237639969214797,0.02020938601344824,0.04345495859161019,True,True,12,4,3,2,12
7007,one_shot,1.6233446796144335,4.309532708947579,2,1,2,3059,27561,5872,126,4.38968190853484,3.750481448834762,0.02375432406552136,0.024626975879073143,0.0200519401114434,0.02696453803218901,True,True,13,4,3,2,12
